school,join_id,cemetery_name,state,findagravelink,burial_site_finding,burial_site_on_campus
New L'Arbre Croche Mission School,141,Holy Childhood of Jesus Cemetery,MI,https://www.findagrave.com/cemetery/1982970/holy-childhood-of-jesus-cemetery,POST,FALSE
Ah-Gwah-Ching Sanatorium and School,142,"Evergreen Cemetery: Walker, MN",MN,https://www.findagrave.com/cemetery/82269/evergreen-cemetery,DOI,FALSE
St. Rose/St. Francis Xavier School,150,"St. Rose of Lima Cemetery: Avoca, MN",MN,https://www.findagrave.com/cemetery/83519/saint-rose-cemetery,DOI,FALSE
St. John's Indian Industrial School,155,"Saint John the Baptist Parish Cemetery
 / Saint Johns Parish Cemetery",MN,https://www.findagrave.com/cemetery/2368832/saint-john-the-baptist-parish-cemetery,POST,TRUE
St. Paul's Industrial School,157,"St. Malachy Cemetery: Clontarf, MN",MN,https://www.findagrave.com/cemetery/83392/saint-malachy-cemetery,DOI,FALSE
Vermilion Lake Indian School,158,Vermilion Reservation Cemetery,MN,https://www.findagrave.com/cemetery/2357808/vermilion-reservation-cemetery,POST,FALSE
Morris Industrial School for Indians,160,,MN,,POST,TRUE
Harmony Mission School,170,Harmony Mission Cemetery,MO,,DOI,TRUE
Bethel Mission School,163,Bethel Mission Cemetery,MS,,DOI,TRUE
Emmaus Mission School,167,Emmaus Mission Cemetery,MS,,DOI,TRUE
Martyn Mission School,168,"Martyn Mission Cemetery: Holly Springs, MS",MS,https://www.findagrave.com/cemetery/2565667/martyn-mission-cemetery,DOI,TRUE
Mayhew School,169,"Mayhew Mission Cemetery: Starkville, MS",MS,https://www.findagrave.com/cemetery/60736/mayhew-mission-cemetery,DOI,TRUE
Holy Family Mission and School,175,Holy Family Mission Cemetery,MT,https://www.findagrave.com/cemetery/2236224/holy-family-mission-cemetery,DOI,TRUE
St. Xavier Mission School,177,Saint Xavier Catholic Mission Cemetery,MT,https://www.findagrave.com/cemetery/21106/saint-xavier-catholic-mission-cemetery,DOI,TRUE
Tongue River Boarding School,178,Busby Cemetery,MT,https://www.findagrave.com/cemetery/20792/busby-cemetery,POST,FALSE
Willow Creek Boarding School,179,"Willow Creek Unmarked Burial Site: Browning, MT",MT,https://www.findagrave.com/cemetery/21168/willow-creek-cemetery,DOI,TRUE
St. Mary’s Indian Industrial School,267,Saint Ann Catholic Original Cemetery,MT,https://www.findagrave.com/cemetery/2375186/saint-ann-catholic-cemetery-original,POST,TRUE
Fort Shaw Government Industrial Indian School,182,"Fort Shaw Cemetery: Fort Shaw, MT",MT,https://www.findagrave.com/cemetery/2301333/fort-shaw-military-cemetery,DOI,TRUE
St. Peter Mission School,184,"St. Peter's Mission Cemetery: Cascade, MT",MT,https://www.findagrave.com/cemetery/2140029/saint-peter-mission-cemetery,DOI,TRUE
St. Ignatius Mission and School,188,Saint Ignatius Catholic Cemetery,MT,https://www.findagrave.com/cemetery/21091/saint-ignatius-catholic-cemetery,POST,FALSE
St. Labre Indian Mission Boarding School,189,Saint Labre Cemetery,MT,https://www.findagrave.com/cemetery/1542232/saint-labre-cemetery,POST,TRUE
Cherokee Boarding School,251,Drama Cemetery,NC,https://www.findagrave.com/cemetery/2147661/drama-cemetery,POST,FALSE
Cherokee Boarding School,251,Cherokee School Campus Cemetery,NC,https://www.findagrave.com/cemetery/2371056/cherokee-school-campus-cemetery,DOI,TRUE
Wahpeton Indian School,268,Fairview Memorial Gardens,ND,https://www.findagrave.com/cemetery/101917/fairview-memorial-gardens,POST,FALSE
Wahpeton Indian School,268,Calvary Cemetery,,https://www.findagrave.com/cemetery/101793/calvary-cemetery,POST,FALSE
Santee Normal Training School,191,Congregational Cemetery,NE,https://www.findagrave.com/cemetery/2219440/congregational-cemetery,POST,FALSE
Genoa Indian Industrial School,192,"Genoa Indian Industrial School Cemetery: Genoa, NE",NE,https://www.findagrave.com/cemetery/2741230/genoa-indian-industrial-school-cemetery,DOI,TRUE
Charles H. Burke Indian School,204,Fort Wingate Cemetery,NM,https://www.findagrave.com/cemetery/2237280/fort-wingate-cemetery,DOI,TRUE
Pueblo Bonito School,214,Crownpoint Cemetery,NM,https://www.findagrave.com/cemetery/1973024/crownpoint-cemetery,POST,FALSE
Tohatchi Boarding and Day School,217,Tohatchi Cemetery,NM,https://www.findagrave.com/cemetery/1975866/tohatchi-cemetery,POST,FALSE
Toadlena Boarding School,232,Toadlena Unmarked Burial Site,NM,,DOI,TRUE
Santa Fe Indian School*,235,"Santa Fe Indian School Cemetery: Santa Fe, NM",NM,https://www.findagrave.com/cemetery/2776031/santa-fe-indian-school-cemetery,DOI,TRUE
Albuquerque Indian School,237,Fairview Cemetery,NM,https://www.findagrave.com/cemetery/641104/fairview-memorial-park,DOI,FALSE
Albuquerque Indian School,237,Albuquerque Indian School Cemetery,NM,https://www.findagrave.com/cemetery/2427082/albuquerque-indian-school-cemetery,DOI,TRUE
Albuquerque Indian School,237,Sunset Memorial Park,,https://www.findagrave.com/memorial/230943663/harrison-ashley,POST,FALSE
Stewart Indian Boarding School,201,Old Stewart Indian Cemetery,NV,https://www.findagrave.com/cemetery/2246782/old-stewart-indian-cemetery,DOI,TRUE
Stewart Indian Boarding School,201,Stewart Unmarked Burial Site,NV,,DOI,FALSE
Thomas Indian School,249,United Missions Cemetery,NY,https://www.findagrave.com/cemetery/2264749/united-missions-cemetery,POST,FALSE
Thomas Indian School,249,Thomas Indian School Cemetery,NY,,DOI,TRUE
Haloche Indian Mission School,269,"Industrial Institute for Deaf, Blind and Orphans of the Colored Race Cemetery",OK,,DOI,TRUE
Armstrong Academy,283,"Armstrong Academy Cemetery: Bokchito, OK",OK,https://www.findagrave.com/cemetery/97881/armstrong-academy-cemetery,DOI,TRUE
Cache Creek Mission School,285,"Cache Creek Mission Cemetery: Apache, OK",OK,https://www.findagrave.com/cemetery/2158175/cache-creek-mission-cemetery,DOI,TRUE
Riverside Indian School*,295,Riverside Cemetery,OK,https://www.findagrave.com/cemetery/2180658/riverside-cemetery,DOI,TRUE
Sacred Heart Mission School - St. Mary's School for Girls,296,"Sacred Heart Cemetery: Konawa, OK",OK,https://www.findagrave.com/cemetery/2626745/sacred-heart-cemetery,DOI,TRUE
St. Patrick's Mission and Boarding School,299,Memory Lane Cemetery,OK,https://www.findagrave.com/cemetery/98944/memory-lane-cemetery,POST,FALSE
Chilocco Indian Agricultural School,301,Chilocco Indian Cemetery,OK,https://www.findagrave.com/cemetery/2580661/chilocco-indian-school-cemetery,DOI,TRUE
St. Louis School for Osage Indian Girls,310,Pawhuska City Cemetery,OK,https://www.findagrave.com/cemetery/151927/pawhuska-city-cemetery,POST,FALSE
Coweta Boarding School,316,"Coweta Boarding School Cemetery: Coweta, OK",OK,https://www.findagrave.com/cemetery/98043/bruner-cemetery,DOI,TRUE
Fort Coffee Academy,320,Fort Coffee Unmarked Burial Site,OK, ,DOI,TRUE
Spencer Academy,326,Spencerville Cemetery,OK,https://www.findagrave.com/cemetery/99566/spencerville-cemetery,DOI,TRUE
St. John's School for Osage Indian Boys,329,"Morrel Cemetery: Blackburn, OK",OK,https://www.findagrave.com/cemetery/98984/morrel-family-cemeteryy,DOI,FALSE
Burney Institute,333,Burney Institute Cemetery,OK,https://www.findagrave.com/cemetery/2194731/burney-institute-cemetery,DOI,TRUE
Cherokee Orphan Training School,335,"Cherokee Nation Orphan Asylum Cemetery: Salina, OK",OK,https://www.findagrave.com/cemetery/2585282/cherokee-nation-orphan-asylum-cemetery,DOI,TRUE
Euchee Boarding School,337,Chief Sapulpa Cemetery,OK,https://www.findagrave.com/cemetery/2353446/sapulpa-family-cemetery,POST,FALSE
Seger Indian Training School,343,Indian Cemetery in Colony,OK,https://www.findagrave.com/cemetery/2215784/indian-cemetery,POST,FALSE
Wetumka Boarding School,346,"Old Wetumka Cemetery (no coordinates), maybe? also known as Barnett-Fisher Cemetery",OK,https://www.findagrave.com/cemetery/2157210/old-wetumka-cemetery,DOI,TRUE
Wheelock Academy,347,Wheelock Academy,OK,https://www.findagrave.com/cemetery/1974956/wheelock-cemetery,DOI,TRUE
Asbury Manual Labor School,440,"Greenwood Cemetery: Eufaula, OK",OK,https://www.findagrave.com/cemetery/228373/greenwood-cemetery,DOI,TRUE
Dwight Mission School,449,"Dwight Mission Cemetery: Vian, OK",OK,https://www.findagrave.com/cemetery/1992042/dwight-mission-cemetery,DOI,TRUE
Kate Drexel Industrial Boarding School,348,Saint Andrews Mission Cemetery,OR,https://www.findagrave.com/cemetery/39376/saint-andrews-mission-cemetery,POST,TRUE
Chemawa Indian Training School,352,Chemawa Cemetery,OR,https://www.findagrave.com/cemetery/38651/chemawa-cemetery,DOI,TRUE
Forest Grove Indian School,353,"Forest View Cemetery: Forest Grove, OR
",OR,https://www.findagrave.com/cemetery/38791/forest-view-cemetery,DOI,TRUE
Carlisle Indian Industrial School,360,"Carlisle Indian Cemetery: Carlisle, PA",PA,https://www.findagrave.com/cemetery/1993028/carlisle-barracks-main-post-cemetery,DOI,TRUE
St. Francis Indian Mission School,370,Saint Charles Catholic Cemetery,SD,https://www.findagrave.com/cemetery/2182690/saint-charles-catholic-cemetery,POST,TRUE
