Overall_Tribe,Tribe,Total
"Pima, Maricopa",Salt River Pima,2
Pit River Tribe,Total,1
Pit River Tribe,Pit River,1
Pomo,Total,1
Pomo,"Manchester, Pomo",1
Ponca,Total,1
Ponca,Ponca,1
Pueblo,Total,34
Pueblo,"Hopi, Moqui Pueblo",13
Pueblo,"Keres, Queres Pueblo",4
Pueblo,Pueblo,9
Pueblo,"Pueblo of of Acoma, Haak'u",2
Pueblo,"Pueblo of Cochlti, KO-TYIT",1
Pueblo,"Pueblo of Iseta, Tue-I",1
Pueblo,"Pueblo of Laguna, Ka'waika",3
Pueblo,"Pueblo of Picuris, Pe'ewi",1
Pueblo,"Pueblo of San Juan, Ohkay Owingeh",1
Pueblo,"Pueblo of Zuni, Ashtwi",4
Quapaw,Total,2
Quapaw,Quapaw,2
Sac and Fox,Total,6
Sac and Fox,Sac and Fox,6
Sac and Fox,Sac and Fox of Oklahoma,1
Salish,Total Colville,12
Salish,Flathead Indians,4
Salish,Muckleshoot,1
Salish,Puyallup,1
Salish,"Quinault, Quinaelt",2
Salish,Snohomish,1
Salish,Suquamish,1
Seneca,Total,4
Seneca,Seneca,4
Seneca,Tonawanda Band of Seneca,1
Shawnee,Total,2
Shawnee,Shawnee,2
"Sioux, Assiniboine",Total,67
"Sioux, Assiniboine",Assiniboine,6
"Sioux, Assiniboine",Cheyenne River Sioux,4
"Sioux, Assiniboine",Crow Creek Sioux,4
"Sioux, Assiniboine",Flandreau Santee Sioux,1
"Sioux, Assiniboine",Lower Brule Sioux,4
"Sioux, Assiniboine",Oglala Sioux from Pine Ridge,11
"Sioux, Assiniboine",Rosebud Sioux,6
"Sioux, Assiniboine",Sioux,28
"Sioux, Assiniboine",Sisseton Wahpeton Oyate Sioux,6
"Sioux, Assiniboine",Standing Rock Sioux,7
"Sioux, Assiniboine","Yankton Sioux, Yanktonai",2
Tohono O'odham,Total,18
Tohono O'odham,"Tohono O'odham, Papago",18
Ute,Total,19
Ute,Southern Ute,1
Ute,Uncompahgre Ute,3
Ute,Ute,5
Ute,Ute Indian Tribe of the Uintah and Ouray,9
Ute,Ute Mountaun Ute,1
Wichita,Total,4
Wichita,"Wichita, Kitikitish",4
